Date,Month,Year,Month Name
2019-01-01,1,2019,January
2019-02-01,2,2019,February
2019-03-01,3,2019,March
2019-04-01,4,2019,April
2019-05-01,5,2019,May
2019-06-01,6,2019,June
2019-07-01,7,2019,July
2019-08-01,8,2019,August
2019-09-01,9,2019,September
2019-10-01,10,2019,October
2019-11-01,11,2019,November
2019-12-01,12,2019,December
2020-01-01,1,2020,January
2020-02-01,2,2020,February
2020-03-01,3,2020,March
2020-04-01,4,2020,April
2020-05-01,5,2020,May
2020-06-01,6,2020,June
2020-07-01,7,2020,July
2020-08-01,8,2020,August
2020-09-01,9,2020,September
2020-10-01,10,2020,October
2020-11-01,11,2020,November
2020-12-01,12,2020,December
2021-01-01,1,2021,January
2021-02-01,2,2021,February
2021-03-01,3,2021,March
2021-04-01,4,2021,April
2021-05-01,5,2021,May
2021-06-01,6,2021,June
2021-07-01,7,2021,July
2021-08-01,8,2021,August
2021-09-01,9,2021,September
2021-10-01,10,2021,October
2021-11-01,11,2021,November
2021-12-01,12,2021,December
2022-01-01,1,2022,January
2022-02-01,2,2022,February
2022-03-01,3,2022,March
2022-04-01,4,2022,April
2022-05-01,5,2022,May
2022-06-01,6,2022,June
2022-07-01,7,2022,July
2022-08-01,8,2022,August
2022-09-01,9,2022,September
2022-10-01,10,2022,October
2022-11-01,11,2022,November
2022-12-01,12,2022,December
2023-01-01,1,2023,January
2023-02-01,2,2023,February
2023-03-01,3,2023,March
2023-04-01,4,2023,April
2023-05-01,5,2023,May
2023-06-01,6,2023,June
2023-07-01,7,2023,July
2023-08-01,8,2023,August
2023-09-01,9,2023,September
2023-10-01,10,2023,October
2023-11-01,11,2023,November
2023-12-01,12,2023,December
2024-01-01,1,2024,January
2024-02-01,2,2024,February
2024-03-01,3,2024,March
2024-04-01,4,2024,April
2024-05-01,5,2024,May
2024-06-01,6,2024,June
2024-07-01,7,2024,July
2024-08-01,8,2024,August
2024-09-01,9,2024,September
2024-10-01,10,2024,October
2024-11-01,11,2024,November
